id;feature_name;description;is_included;created_by;created_date;last_modified_by;last_modified_date
1;phew;quiet parched instead;true;pish case gently;2025-05-15T18:18:30;where out;2025-05-15T20:33:19
2;toe when;aside coast;true;unexpectedly;2025-05-15T23:05:55;steep kindly;2025-05-16T01:14:01
3;an towards make;deduce sleet haze;false;overcooked untidy;2025-05-16T07:09:06;circa;2025-05-15T09:44:56
4;pish;trim;false;blah low whenever;2025-05-15T23:53:18;coordinated overwork;2025-05-16T00:42:16
5;since overconfidently infatuated;even;true;final;2025-05-16T01:00:24;tensely yesterday bah;2025-05-16T09:28:55
6;ring;probable;true;pish at;2025-05-16T07:38:22;immediately eek heavy;2025-05-15T19:25:16
7;as seemingly;by apparatus sizzle;true;physical hoof;2025-05-15T13:27:02;giving;2025-05-16T05:31:16
8;circulate greatly highlight;ah certification what;false;mid;2025-05-15T09:31:37;amidst;2025-05-15T17:04:37
9;ideal;nectarine;true;rudely um;2025-05-15T10:21:41;opposite although;2025-05-15T12:22:27
10;ornery midst;pip ick;true;swim;2025-05-16T08:41:29;gee qua;2025-05-15T21:36:07
