id;name;description;resource_type;action;created_by;created_date;last_modified_by;last_modified_date
1;venture the phew;second toward;minor house;whoever stealthily;within;2025-05-15T21:21:34;back;2025-05-15T23:57:40
2;brr over;incidentally;silt afore;reward excellent;wide;2025-05-15T18:34:03;elliptical;2025-05-15T12:16:21
3;sorrowful;pish slope;yearningly;rubric tarragon;qua;2025-05-16T08:38:01;assail blindly oof;2025-05-15T23:13:20
4;parsnip;printer;scramble observe;or supposing that;although scruple;2025-05-15T12:16:45;ditch;2025-05-16T02:37:31
5;more psst surprisingly;birdbath;a;fiercely unconscious rule;zowie wrong;2025-05-15T16:55:13;oh contractor canter;2025-05-16T05:18:43
6;morning injunction aha;dirty geez;proofread;incidentally;until;2025-05-15T12:16:07;as phooey carefully;2025-05-16T08:10:29
7;continually;save proceed yesterday;unpleasant apud;luck excluding;who;2025-05-15T22:42:54;before overcoat above;2025-05-15T20:39:44
8;slide incidentally meanwhile;geez;now once smart;via;boggle phew;2025-05-15T12:17:57;language best-seller gadzooks;2025-05-15T10:49:15
9;above colonialism genuine;incidentally whenever;tensely aside;coil;overload;2025-05-16T03:23:23;crafty whose;2025-05-15T12:15:51
10;duh where;aha silent cool;er towards;brilliant yeast outset;though;2025-05-16T03:31:24;reservation;2025-05-15T14:34:13
