id;name;description;code;manufacturer_code;upc;selling_price;cost_price;profit_margin;minimum_stock_level;category;apply_tva;is_visible_to_customers;expiration_date;created_by;created_date;last_modified_by;last_modified_date
1;institutionalize;aha harp brr;scale handy once;with;aha yippee dock;12605.99;12438.4;10060.57;16813.57;MOBILE_PHONES;false;false;2025-05-15T15:54:59;solidly oof considering;2025-05-15T19:00:27;trash thyme circa;2025-05-15T10:33:11
2;blacken gosh;bitterly aw yippee;shear as gadzooks;motor apud;yet simplistic meanwhile;24788.79;4531.75;24696.54;17926.53;ACCESSORIES;false;false;2025-05-15T23:26:44;since over dependable;2025-05-15T20:19:41;instead;2025-05-15T21:47:16
3;smart sophisticated flawed;ugh;hm;schedule thorough unlawful;meanwhile off;31903.76;2383.45;16551.97;11229.28;FOOD_AND_BEVERAGES;true;true;2025-05-15T19:21:04;dramatize;2025-05-15T15:47:40;aside as;2025-05-15T14:19:08
4;haunting;scarcely;doorpost along;quantify;wound bell oblong;28924.48;4361.98;4116.07;12897.61;INDUSTRIAL_EQUIPMENT;true;true;2025-05-15T20:32:55;magnificent unknown swathe;2025-05-16T02:59:13;although;2025-05-16T05:43:53
5;alligator when broadly;pluck mid;until far;what stable;fidget;10420.82;18392.15;28720.94;14056.61;ACCESSORIES;true;true;2025-05-15T12:37:12;extra-large shoulder;2025-05-15T12:49:07;ragged;2025-05-15T11:00:53
6;parsnip mosh awesome;positively;subtract;towards spring;excluding er;13823.73;13592.16;18055.37;9159.38;HEALTHCARE;false;false;2025-05-16T05:52:36;suddenly fleck;2025-05-16T02:56:25;beautifully;2025-05-16T06:40:32
7;dislocate anguished innocently;yum;aw youthfully but;mmm deeply poorly;before as oil;29845.8;20547.22;11320.27;14704.72;BOOKS;false;true;2025-05-15T17:47:09;wherever at;2025-05-16T03:08:38;mathematics reborn limply;2025-05-15T23:25:54
8;hypothesise blah;brush impolite by;break as;gee;char;29598.12;32035.59;31957.87;3203.29;PET_SUPPLIES;false;false;2025-05-15T17:39:42;cheetah likewise;2025-05-16T08:09:38;curiously ick including;2025-05-15T19:46:41
9;cleave unsung;however helplessly;usually whether;frizzy out accredit;plus suddenly;10846.61;16143.17;92.31;26581.21;SOFTWARE;false;false;2025-05-15T23:47:09;gah outsource pecan;2025-05-16T00:33:58;peppery digit;2025-05-16T05:35:20
10;muscat instead underneath;wheel even;as always miserably;aw indeed conclude;until linear;11181.5;24131.64;23655.79;9067.11;STATIONERY;false;true;2025-05-15T12:13:04;declaration filthy;2025-05-15T23:43:00;house;2025-05-16T07:39:00
