id;name;description;base_price;billing_cycle;is_active;created_by;created_date;last_modified_by;last_modified_date
1;behind;middle;14192.3;QUARTERLY;true;up amidst mysterious;2025-05-16T08:04:14;hopelessly slowly whether;2025-05-16T05:13:31
2;reporter or;bowed innovation accidentally;1292.63;QUARTERLY;false;lest ew mmm;2025-05-16T02:12:08;an hover;2025-05-16T08:55:45
3;boo following after;with quicker outgoing;5975.14;MONTHLY;true;dearly ouch;2025-05-16T07:07:03;any boohoo;2025-05-15T11:58:54
4;midst crest solemnly;inasmuch if;25634.1;QUARTERLY;false;hourly;2025-05-15T19:41:43;bouncy fort;2025-05-16T09:04:22
5;ha possible;zowie when;8587.48;QUARTERLY;true;consequently now;2025-05-15T19:07:19;whether provided;2025-05-16T03:59:46
6;whenever;evenly;20983.42;MONTHLY;false;following scenario noted;2025-05-16T07:12:55;boo concerning;2025-05-15T20:42:52
7;apropos hm deep;faint till ew;5190.54;MONTHLY;false;than superior;2025-05-15T18:58:26;apropos yummy;2025-05-16T09:20:17
8;doorpost since shy;ouch nor;1387.8;ANNUAL;false;defiantly;2025-05-15T16:40:57;leading;2025-05-15T16:16:41
9;wilted times;pfft;14822.11;MONTHLY;true;acceptable;2025-05-15T12:55:46;operating oh;2025-05-15T20:31:43
10;yuck concerned;passionate amid;5489.45;ANNUAL;false;windy likewise towards;2025-05-16T08:18:15;despite failing;2025-05-15T23:16:08
