id;reference;tracking_number;carrier;shipping_date;estimated_delivery_date;actual_delivery_date;status;shipping_cost;weight;notes;created_by;created_date;last_modified_by;last_modified_date
1;eek excitedly fully;amidst;usually;2025-05-16T02:03:59;2025-05-16T07:28:45;2025-05-15T23:24:59;DELIVERED;20401.48;9650.71;that substantial ugh;mmm yum entomb;2025-05-16T06:39:15;within besides;2025-05-16T03:51:20
2;cleverly;for;but serve;2025-05-16T06:22:07;2025-05-15T17:21:11;2025-05-15T17:19:00;DELIVERED;9652.02;1725.55;by magnificent;jubilant;2025-05-15T11:51:59;likewise;2025-05-16T03:06:43
3;abaft;whose too ew;afterwards mmm psst;2025-05-16T03:18:35;2025-05-16T03:52:16;2025-05-16T00:07:28;SHIPPED;20398.96;3515.18;doting minor lustrous;weight;2025-05-16T01:52:53;reorganisation;2025-05-15T11:46:05
4;ew;pfft upright um;strange pepper;2025-05-15T17:30:26;2025-05-15T09:54:41;2025-05-15T22:14:42;PENDING;12764.7;11401.97;produce more;toaster amid;2025-05-16T03:50:57;lazy carouse gape;2025-05-15T13:36:16
5;wisecrack;coolly;so;2025-05-15T10:29:49;2025-05-15T13:32:21;2025-05-16T00:27:41;SHIPPED;8335.15;493.46;unfortunately;what straw trick;2025-05-15T22:15:20;once cleave;2025-05-15T12:09:06
6;innocently;kookily;realistic nervously;2025-05-16T08:33:50;2025-05-15T18:07:11;2025-05-15T23:14:23;DELIVERED;12107.99;8937.69;so terrible simple;mixture unbearably;2025-05-16T08:22:18;along;2025-05-15T20:47:13
7;converse;lively;across phew alarmed;2025-05-16T01:30:26;2025-05-15T12:38:13;2025-05-15T20:50:11;FAILED;5997.98;5788.61;perfumed overreact;consequently;2025-05-15T09:49:26;among lounge whose;2025-05-15T21:37:32
8;duster;young merit;yesterday lean;2025-05-15T21:22:32;2025-05-15T15:22:13;2025-05-15T11:57:34;PENDING;58.5;16695.41;freely;boo disinherit;2025-05-15T18:15:17;till ameliorate;2025-05-16T09:30:07
9;millet cricket;populist hence;lucky;2025-05-15T19:07:13;2025-05-16T08:50:37;2025-05-15T22:18:08;FAILED;9199.75;19096.63;shrill;quaff briskly;2025-05-15T18:18:27;how;2025-05-15T13:33:26
10;aboard;scrabble private;famously defrag once;2025-05-15T17:56:59;2025-05-15T13:33:19;2025-05-16T09:28:34;PENDING;12820.48;20901.12;duh at before;hence intermarry;2025-05-16T00:30:45;membership hefty boohoo;2025-05-15T17:44:13
