id;address_type;street_address;city;state;postal_code;country;is_default;phone_number;created_by;created_date;last_modified_by;last_modified_date
1;BILLING;shakily aw;Port Mollyside;provided meanwhile CD;rejoin among pearl;Guyana;false;really down;when phew;2025-05-16T02:06:15;yet;2025-05-15T15:01:30
2;HEADQUARTERS;ruddy overcoat;Lake Bria;secret unbalance decryption;zowie;Yemen;false;till;until disk;2025-05-16T06:14:45;mixture mom;2025-05-15T20:06:42
3;HEADQUARTERS;although;Wilkinsonshire;after;because finally;Kyrgyz Republic;false;kindheartedly after;worthless shark;2025-05-15T11:48:59;reluctantly between specific;2025-05-15T19:38:34
4;PRIMARY;bah apropos;Southfield;but;gadzooks;Switzerland;false;yum;hundred softly since;2025-05-16T02:05:00;bah;2025-05-15T13:40:52
5;BILLING;aha plus;New Orleans;aside apt;forenenst euphonium;Reunion;false;opposite;tentacle;2025-05-15T09:40:46;alliance politely;2025-05-15T09:40:30
6;SHIPPING;sizzling unlike;Eugene;essence custody dense;bolster department nautical;Isle of Man;false;like;psst an;2025-05-16T06:06:25;considerate;2025-05-15T20:39:12
7;SHIPPING;before up fumigate;West Ibrahim;supposing;of amid;Estonia;false;repeatedly;questioningly consequently although;2025-05-15T19:42:38;dreamily fooey characterization;2025-05-15T23:50:14
8;PRIMARY;ha adumbrate;Bradtkeboro;eek;circular farm;Greenland;true;or;poor pfft government;2025-05-15T16:03:49;inborn obvious;2025-05-15T14:09:35
9;SHIPPING;lest along drat;Port Mandyborough;meanwhile on;unique that;Malawi;false;every telescope readmit;shear;2025-05-15T22:42:39;midst;2025-05-16T04:10:51
10;SHIPPING;numb ultimately across;Port Ricky;trained;reorganisation which unlike;Mauritania;true;which quirkily where;collaboration once;2025-05-15T15:10:55;typify for;2025-05-15T09:56:14
